,Geography,Year,Population
0,Ontario,1997.0,11179959
1,Manitoba,1997.0,1135846
2,Saskatchewan,1997.0,1017683
3,Alberta,1997.0,2813157
4,British Columbia,1997.0,3931056
5,Ontario,1998.0,11322038
6,Manitoba,1998.0,1136177
7,Saskatchewan,1998.0,1017105
8,Alberta,1998.0,2876753
9,British Columbia,1998.0,3977912
10,Ontario,1999.0,11452857
11,Manitoba,1999.0,1140502
12,Saskatchewan,1999.0,1015716
13,Alberta,1999.0,2937393
14,British Columbia,1999.0,4002433
15,Ontario,2000.0,11621255
16,Manitoba,2000.0,1145873
17,Saskatchewan,2000.0,1009177
18,Alberta,2000.0,2988465
19,British Columbia,2000.0,4033319
20,Ontario,2001.0,11827345
21,Manitoba,2001.0,1149684
22,Saskatchewan,2001.0,1001643
23,Alberta,2001.0,3041238
24,British Columbia,2001.0,4066132
25,Ontario,2002.0,12030408
26,Manitoba,2002.0,1154737
27,Saskatchewan,2002.0,997740
28,Alberta,2002.0,3108360
29,British Columbia,2002.0,4094236
30,Ontario,2003.0,12195501
31,Manitoba,2003.0,1160863
32,Saskatchewan,2003.0,995748
33,Alberta,2003.0,3169049
34,British Columbia,2003.0,4114925
35,Ontario,2004.0,12341656
36,Manitoba,2004.0,1170347
37,Saskatchewan,2004.0,997080
38,Alberta,2004.0,3223490
39,British Columbia,2004.0,4145951
40,Ontario,2005.0,12477967
41,Manitoba,2005.0,1177285
42,Saskatchewan,2005.0,994892
43,Alberta,2005.0,3296271
44,British Columbia,2005.0,4182963
45,Ontario,2006.0,12618444
46,Manitoba,2006.0,1181635
47,Saskatchewan,2006.0,991228
48,Alberta,2006.0,3396802
49,British Columbia,2006.0,4227986
50,Ontario,2007.0,12726728
51,Manitoba,2007.0,1186430
52,Saskatchewan,2007.0,997550
53,Alberta,2007.0,3490842
54,British Columbia,2007.0,4276743
55,Ontario,2008.0,12840272
56,Manitoba,2008.0,1194662
57,Saskatchewan,2008.0,1013478
58,Alberta,2008.0,3567458
59,British Columbia,2008.0,4331699
60,Ontario,2009.0,12956332
61,Manitoba,2009.0,1204014
62,Saskatchewan,2009.0,1029901
63,Alberta,2009.0,3659228
64,British Columbia,2009.0,4395190
65,Ontario,2010.0,13088106
66,Manitoba,2010.0,1216610
67,Saskatchewan,2010.0,1046799
68,Alberta,2010.0,3714974
69,British Columbia,2010.0,4453744
70,Ontario,2011.0,13221999
71,Manitoba,2011.0,1229063
72,Saskatchewan,2011.0,1061484
73,Alberta,2011.0,3768773
74,British Columbia,2011.0,4488508
75,Ontario,2012.0,13348263
76,Manitoba,2012.0,1245692
77,Saskatchewan,2012.0,1077892
78,Alberta,2012.0,3847722
79,British Columbia,2012.0,4548438
80,Ontario,2013.0,13467829
81,Manitoba,2013.0,1260834
82,Saskatchewan,2013.0,1094390
83,Alberta,2013.0,3946798
84,British Columbia,2013.0,4611648
85,Ontario,2014.0,13582747
86,Manitoba,2014.0,1274407
87,Saskatchewan,2014.0,1109631
88,Alberta,2014.0,4054280
89,British Columbia,2014.0,4684490
90,Ontario,2015.0,13669860
91,Manitoba,2015.0,1288094
92,Saskatchewan,2015.0,1118806
93,Alberta,2015.0,4128300
94,British Columbia,2015.0,4757759
95,Ontario,2016.0,13816545
96,Manitoba,2016.0,1307689
97,Saskatchewan,2016.0,1131147
98,Alberta,2016.0,4181765
99,British Columbia,2016.0,4832155
100,Ontario,2017.0,14006386
101,Manitoba,2017.0,1328412
102,Saskatchewan,2017.0,1146218
103,Alberta,2017.0,4227969
104,British Columbia,2017.0,4905210
105,Ontario,2018.0,14235643
106,Manitoba,2018.0,1347055
107,Saskatchewan,2018.0,1158451
108,Alberta,2018.0,4281706
109,British Columbia,2018.0,4983183
110,Ontario,2019.0,14467552
111,Manitoba,2019.0,1364667
112,Saskatchewan,2019.0,1169397
113,Alberta,2019.0,4344454
114,British Columbia,2019.0,5066120
115,Ontario,2020.0,14729324
116,Manitoba,2020.0,1379735
117,Saskatchewan,2020.0,1179939
118,Alberta,2020.0,4415700
119,British Columbia,2020.0,5150616
120,Ontario,2021.0,14795883
121,Manitoba,2021.0,1383638
122,Saskatchewan,2021.0,1180314
123,Alberta,2021.0,4438772
124,British Columbia,2021.0,5185990
